,amaiz,asorg,arice,apuls,agnut,aoils,acass,aroot,avege,asugr,atoba,acott,afrui,acoco,acoff,aocrp,acatt,apoul,aoliv,afore,afish,acoil,aomin,ameat,afveg,afoil,agmll,asref,afood,abeve,aptob,atext,aclth,aleat,awood,apetr,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,households,government,investment,exports,imports,stock changes
afrui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.74400864,1.310333904,0,0,2.957397399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.3580585,0,285.2660942,0,0,0,0,0,0,0,0,2107.206109,0,0,727.4612094,-43.01147463,0
acoco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.3544354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4346.856692,-0.147951909,0
acoff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099062446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25067481,-3.389869619,0
aocrp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.24992845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.89576269,0,0,185.3882467,-19.17678097,0
acatt,23.13804248,5.535000048,19.94185697,16.43029895,11.35134556,28.42314092,18.36559678,10.87094614,26.18492486,0,0,0,130.296735,0,0,0,0,134.7065792,0,0,0,0,0,22.08529182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.21088384,0,0,0,0,0,0,0,0,729.6064043,0,0,0.047747525,-10.49790204,144.8636126
apoul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.55350957,0,0,0,0,0,0.521189812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.2541195,0,0,0,0,0,0,0,0,1146.995423,0,0,0.081677296,-34.30196742,158.7236606
aoliv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25481204,0,0,6.351340647,0,0,0,0,76.14232744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.54189247,0,0,0,0,0,0,0,0,647.8112289,0,0,0.934513004,-19.14017129,109.8690519
afore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.8400813,0,0,0,0.596351374,0,0,0,0,4.948738818,2.14000736,0,0,0,0,2116.349786,0,4.258657988,0,24.75145144,0,53.68633708,0,0,0,0,0,36.76005067,0,0,0,0,0,0,0,0,690.0763241,0,0,37.62328401,-50.62876906,886.9775315
afish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.05824896,0,0,0,0,37.75585547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.21657654,0,303.222414,0,0,0,0,0,0,0,0,1531.901764,0,0,0.560898578,-5.176938903,0
acoil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4481.490116,0,0,0,0,0,2946.811929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3719.524421,-1111.445308,1239.148203
aomin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.247217685,12.74704993,74.04068403,0.530469116,0,0,0,0,2.835463233,0,0,0,0,0,6.102812556,0,33.7808765,52.54063236,114.4387585,0,0,15.38006059,133.3857693,331.5660739,0,0,17.10089528,0,0,0,0,0,0,0,0,0,0,0,21121.70095,-136.1605594,0
ameat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.631461338,6.235323825,0,0,34.72425013,0.341703004,2.629061107,10.50392879,0.396502225,23.97551811,2.652823828,0,0,1.767294233,0.246262975,0,0,2.828905395,0,0,0,0,0,0,0,76.26027788,39.70168828,477.5726066,39.11735678,0,0,0,0,0,8.543188315,0,4281.990888,0,0,177.4013505,-2640.338409,0
afveg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153890438,4.917710863,0,1.248817939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.92193936,0,0,0,0,0,0,0,0,0,0,0,689.5027028,-364.0022293,0
afoil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769611593,0.858872253,2.763963888,0,0,36.11147775,1.999449313,0,0,0,0,0,0,54.14891034,0,0,0,0,0,0,0,0,0,393.3251347,0,0,0,0,0,0,0,0,1082.294893,0,0,486.2750584,-176.3345897,0
agmll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.4060447,196.9852486,182.4850013,0,0,0,0,1.133153177,0.846993926,5.279320697,69.75587431,0.792399977,170.088556,23.35431524,0,0,0,0,4.725326618,0,3.881044374,0,0,0,0,0,0,0,167.2612063,0,748.504166,0,0,0,0,0,0,0,0,4974.951223,0,0,33.04458968,-664.586304,0
asref,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.275057261,0,0,0,0.797511664,5.102180866,91.80197348,0,0,0,0,0,0,0,0,0,0.367331147,0,0,0,0,0,0,81.89902958,0,0,0,0,0,0,0,0,662.9183404,0,0,0.779238074,-517.4269501,0
afood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.805576018,0,0,0,0,0,0,0,10.68324694,0,0,9.88307126,1.040877422,17.83093711,72.34707765,0,0,2.54651041,0,0,0,11.18844388,0,0,0,0,0,0,0,120.6561702,27.7809231,289.781042,27.27343991,0,0,0,0,0,0,0,2414.605178,0,0,281.178503,-745.7312822,0
abeve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055825088,0.201793717,0,0,0.266489749,1.252000609,77.54778707,0,0,0,0,0,0,10.34458395,0,0,0,0,0,0,0,89.88373042,0,64.778632,0,0,0,167.7949921,92.27119603,0,0,0,2091.420496,0,0,100.5520109,-431.9428344,0
aptob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094809693,0,0,2.237149142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.57472501,0,0,0,-11.2263698,0
atext,76.77338963,14.98902246,34.51912331,6.369267636,7.745641407,24.98823054,38.28436742,13.34668029,65.54693584,1.37061637,0.013054108,13.32854681,0,82.93999204,0.025792794,13.35803739,0,0,0,0,0,6.884885714,40.05977614,0,0,0,24.21820307,1.547335868,0,3.819168011,0.043279858,58.24622695,39.85467759,2.072413958,4.32413785,0,5.805498249,0,0,0,4.676417324,0,0,0,0,0,18.94396623,0,0,0,0,0,0,0,0,1980.784945,0,0,38.25045824,-638.6176505,0
aclth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.802333439,0,1.868349636,55.23421792,0,4.042914118,0,0,0,0,0,0,41.12157869,0,0,0,0,0,0,0,75.88741454,305.5417362,0,556.1942459,0,7.52053024,1480.770262,0,0,22.64307569,-435.8913603,0
aleat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18712288,0,0,6.804748095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.109887333,474.151171,0,0,11.84086115,-244.3293805,0
